Longitude Decimal,Latitude Decimal,osm_id,code,fclass,name
-95.2477503,38.958058,358625153,2081,university,University of Kansas
-95.252472,39.0625008,358633146,2082,school,Sunnyside School
-95.1580265,39.00028,358633166,2082,school,Mackey School
-95.2058046,39.062779,358633167,2082,school,Knowledge Hill School
-95.4096976,38.9588907,358633628,2082,school,Yarnold School
-95.2674731,38.8988926,358633634,2082,school,Pleasant Valley School
-95.3255299,38.891948,358633639,2082,school,Washington Creek School
-95.3544188,38.9663907,358633645,2082,school,Kanwaka School
-95.287751,38.9725019,358633647,2082,school,Brackett School
-95.2244166,38.9766688,358633693,2082,school,Lincoln School
-95.4002539,38.8458376,358634237,2082,school,Weybright School
-95.3536258,38.8262557,358634274,2082,school,Colyer School
-95.2699227,38.9535165,358638119,2950,tower,KANU-FM (Lawrence)
-95.2880932,38.8896487,358638121,2950,tower,KLZR-FM (Lawrence)
-95.2874738,38.9346595,358638296,2950,tower,KLWN-AM (Lawrence)
-95.2588336,38.9608993,358646359,2082,school,Montessori Childrens House
-95.2062545,39.008351,358646377,2082,school,Grant Elementary School
-95.2436912,38.9431836,358646478,2082,school,Lawrence Diploma Completion Program
-95.323744,38.9573482,358646685,2082,school,Corpus Christi Catholic School
-95.2507482,38.9875962,358646970,2082,school,Veritas Christian School
-95.2501505,38.9649628,358648171,2081,university,University of Kansas - Lawrence Campus Baehr Audio - Reader Center
-95.2504705,38.9650245,358648189,2081,university,University of Kansas - Lawrence Campus Broadcasting Hall
-95.2614375,38.9489383,358648246,2081,university,University of Kansas - Lawrence Campus Hambleton Hall
-95.2508559,38.9643319,358648311,2081,university,University of Kansas - Lawrence Campus Max Kade Center
-95.2611961,38.9491719,358648323,2081,university,University of Kansas - Lawrence Campus Moore Hall
-95.2620276,38.9489403,358648340,2081,university,University of Kansas - Lawrence Campus Parker Hall
-95.2304,38.9386,358648497,2082,school,Haskell Indian Nations University - Navarre Hall
-95.292579,38.899298,366762371,2952,water_tower,Douglas County Rural Water District 5 Water Tower
-95.2508215,38.9595177,366762565,2724,memorial,University of Kansas - Lawrence Campus Vietnam War Memorial
-95.249827,38.9590314,366762570,2724,memorial,University of Kansas - Lawrence Campus Korean War Memorial
-95.2365,38.9397,366762771,2120,doctors,Haskell Indian Nations University - Health Center
-95.3908611,38.9102651,366763081,2002,fire_station,Clinton Township Fire Department
-95.3533991,38.8766874,366763082,2002,fire_station,Clinton Township Fire Station 2
-95.213554,38.9454579,366763346,2002,fire_station,Lawrence Douglas County Fire and Medical Station 2
-95.2841249,38.9720077,366763349,2002,fire_station,Lawrence Douglas County Fire and Medical Station 3
-95.2378524,38.969676,366763353,2002,fire_station,Lawrence Douglas County Fire and Medical Station 1
-95.2483485,38.9800412,366763365,2002,fire_station,Lawrence Douglas County Fire and Medical Station 6
-95.2597327,38.9489651,366763366,2002,fire_station,Lawrence Douglas County Fire and Medical Station 5 - Headquarters
-95.4009495,38.9861676,366763416,2002,fire_station,Kanawaka Township Fire Department
-95.3447437,38.9998127,366763496,2002,fire_station,Lecompton Township Fire / Rescue / Emergency Medical Services Station 3
-95.2068331,39.0811644,366763862,2002,fire_station,Sarcoxie South Fire District 4
-95.1313677,39.006908,366763949,2002,fire_station,Reno Township Fire Department
-95.2725591,39.0010713,366764037,2002,fire_station,Wakarusa Township Fire Department Station 2
-95.304818,38.9574258,366764701,2001,police,Lawrence Police Department
